rank,model_name,mean_validation_accuracy,mean_validation_f1,validation_accuracy_std,validation_f1_std,best_fold,best_validation_accuracy,best_validation_f1,test_accuracy,test_f1,number_of_parameters,model_size_mb,total_training_time,average_epoch_time
1,Improved CNN,0.9741418531219231,0.9741658737259333,0.0007413761077760613,0.0007282201786072531,5,0.9753505585169592,0.9753502371044872,0.9659906574000228,0.9660451123487112,3779222,14.433761596679688,6546.621068239212,130.911877784729
2,Simple CNN,0.9711879944318065,0.9712129954364807,0.001165710011082191,0.001162907099344355,5,0.9729738906053712,0.97299726737645,0.9618605446052182,0.9619331117470046,1431382,5.467674255371094,6216.1728515625,124.22589195251464
3,ResNet18,0.9671408685023597,0.9671820104242542,0.0028460738738840816,0.0028721208049742614,4,0.9715478898584184,0.9715892428032352,0.9601230488777488,0.960368093841658,11293878,43.11949920654297,14447.737076997755,481.51156645615896
4,PF-ViT,0.9335212032730112,0.9336318449458858,0.01099575573188662,0.010933344805616403,3,0.9412963025837776,0.941380880628236,0.931895864190498,0.931982917332224,784982,2.9952163696289062,6569.98327755928,131.38155262470246
5,LW-ViT,0.8630360234950599,0.8626579709163238,0.012391648787661592,0.012560051764100839,2,0.8787899365090144,0.8786445804408294,0.8736185484789791,0.873665740429191,643190,2.453575134277344,6650.71629858017,132.99348700523376
